1,1,553,113,56,56,0.46155
1,2,729,105,56,56,0.44144
1,3,583.04,389.02,169.76,151.98,0.36563
1,4,524.81,102.09,73.51,55.13,0.24722
1,5,537,73,64,48,0.16338
1,6,513.16,316.17,275.77,224.83,0.14845
1,7,897,241,64,112,0.12697
1,8,98.502,209.93,97.498,97.5,0.090335
1,9,534.53,98.006,97.01,72.754,0.088354
1,10,809.68,184.79,73.52,55.14,0.065715
1,11,736.39,102.82,90.51,67.89,0.064542
1,12,529,49,56,56,0.051667
1,13,874.05,243.51,86.95,169.76,0.04078
1,14,389.14,105.5,119.43,89.57,0.024212
1,15,704.29,85.88,84.88,84.88,0.023097
1,16,503.31,69.944,78.79,59.096,0.019989
1,17,223.93,206.78,137.19,102.89,0.011563
1,18,91.51,227.27,316.78,313.73,0.001407
2,1,553,113,56,56,0.48881
2,2,729,105,56,56,0.36777
2,3,583.04,389.02,169.76,151.98,0.31395
2,4,528.8,96.005,84.45,63.335,0.2411
2,5,529,65,56,56,0.16494
2,6,883.47,227.27,77.53,158.4,0.12044
2,7,98.502,209.93,97.498,97.5,0.11141
2,8,736.39,102.82,90.51,67.89,0.053419
2,9,680.04,85.88,97.01,72.75,0.046722
2,10,508.57,329.43,209,209,0.041973
2,11,217,241,80,40,0.033721
2,12,267.5,478.86,64.33,62.14,0.021338
2,13,809.68,92.896,73.52,55.134,0.0192
2,14,481,65,128,96,0.015463
2,15,391.01,112.43,111.43,83.57,0.013483
2,16,544.06,114.14,79.19,79.19,0.011888
2,17,846.44,74.517,73.52,55.133,0.01125
2,18,239.93,184.79,147.03,110.28,0.0095205
2,19,808.63,178.28,78.79,59.1,0.0091179
2,20,91.51,227.27,316.78,313.73,0.0036432
3,1,553,113,56,56,0.42876
3,2,729,105,56,56,0.32539
3,3,528.8,96.005,84.45,63.335,0.29141
3,4,583.04,389.02,169.76,151.98,0.20877
3,5,883.2,221.55,77.8,128.65,0.16755
3,6,529,65,56,56,0.14715
3,7,98.502,209.93,97.498,97.5,0.12635
3,8,676.79,78.976,103.97,77.974,0.098321
3,9,209,241,80,40,0.084029
3,10,561,137,64,48,0.047235
3,11,809.68,92.896,73.52,55.134,0.040871
3,12,838.18,69.944,78.79,59.096,0.034805
3,13,401.15,110.13,97.01,72.76,0.01191
3,14,266.8,481.15,60.02,59.85,0.0088506
3,15,749.54,69.944,78.79,59.096,0.0039603
3,16,493.64,75.643,119.43,89.567,0.0031097
4,1,553,113,56,56,0.42791
4,2,721,97,56,56,0.37967
4,3,528.8,96.005,84.45,63.335,0.29725
4,4,883.2,203.17,77.8,128.66,0.18961
4,5,589.31,408.29,158.39,132.71,0.16899
4,6,529,65,56,56,0.15035
4,7,98.502,209.93,97.498,97.5,0.12982
4,8,809.68,92.896,73.52,55.134,0.11312
4,9,209,241,80,40,0.055646
4,10,493.64,90.571,119.43,89.569,0.052071
4,11,676.79,65.98,103.97,77.98,0.033505
4,12,738.38,103.89,85.74,42.87,0.03078
4,13,887.42,276.78,73.58,137.88,0.028991
4,14,391.01,112.43,111.43,83.57,0.02428
4,15,838.18,69.944,78.79,59.096,0.017808
4,16,545,353,224,188,0.014934
4,17,91.51,227.27,316.78,313.73,0.0090337
5,1,553,121,56,56,0.42304
5,2,721,97,56,56,0.32882
5,3,521.43,102.82,90.51,67.89,0.2995
5,4,864.82,203.17,96.18,128.66,0.27648
5,5,537,73,56,56,0.20427
5,6,589.31,408.29,158.39,132.71,0.13684
5,7,90.571,210,104.5,104.5,0.089624
5,8,687.14,85.449,84.45,63.331,0.073557
5,9,809.68,92.896,73.52,55.134,0.067045
5,10,524.81,46.948,64.32,64.332,0.061988
5,11,887.42,276.78,73.58,137.88,0.05972
5,12,391.01,112.43,111.43,83.57,0.057175
5,13,209,241,80,40,0.044849
5,14,545,353,224,188,0.034905
5,15,737,105,80,40,0.028976
5,16,818.48,60.095,78.79,59.095,0.018249
5,17,267.5,478.86,64.33,62.14,0.010912
5,18,238.59,227.27,90.51,67.89,0.0095716
