1,-1,644,420,55,170,1,-1,-1,-1
1,-1,1462,428,67,178,1,-1,-1,-1
1,-1,533,445,60,156,1,-1,-1,-1
1,-1,1369,409,61,203,1,-1,-1,-1
1,-1,731,430,50,140,1,-1,-1,-1
1,-1,971,409,25,48,1,-1,-1,-1
1,-1,1190,404,30,83,1,-1,-1,-1
1,-1,881,415,25,44,1,-1,-1,-1
1,-1,1553,435,47,128,1,-1,-1,-1
2,-1,634,424,55,172,1,-1,-1,-1
2,-1,1460,428,71,175,1,-1,-1,-1
2,-1,1372,417,58,184,1,-1,-1,-1
2,-1,530,443,61,156,1,-1,-1,-1
2,-1,1192,403,30,85,1,-1,-1,-1
2,-1,726,438,49,110,1,-1,-1,-1
2,-1,1564,436,44,121,1,-1,-1,-1
3,-1,1466,429,63,165,1,-1,-1,-1
3,-1,634,421,55,173,1,-1,-1,-1
3,-1,1370,418,58,191,1,-1,-1,-1
3,-1,736,437,44,95,1,-1,-1,-1
3,-1,1190,405,27,82,1,-1,-1,-1
3,-1,562,434,42,124,1,-1,-1,-1
3,-1,965,399,27,55,1,-1,-1,-1
3,-1,541,444,57,151,1,-1,-1,-1
3,-1,1181,426,32,77,1,-1,-1,-1
4,-1,1454,428,73,178,1,-1,-1,-1
4,-1,1366,422,63,188,1,-1,-1,-1
4,-1,636,423,55,166,1,-1,-1,-1
4,-1,1178,426,33,77,1,-1,-1,-1
4,-1,753,437,38,69,1,-1,-1,-1
4,-1,570,442,37,102,1,-1,-1,-1
4,-1,965,409,24,42,1,-1,-1,-1
4,-1,1187,410,27,73,1,-1,-1,-1
4,-1,460,428,60,151,1,-1,-1,-1
4,-1,880,417,23,43,1,-1,-1,-1
5,-1,1362,426,71,183,1,-1,-1,-1
5,-1,635,422,61,177,1,-1,-1,-1
5,-1,1446,434,64,146,1,-1,-1,-1
5,-1,537,444,63,153,1,-1,-1,-1
5,-1,333,393,68,212,1,-1,-1,-1
5,-1,453,423,66,170,1,-1,-1,-1
5,-1,1174,435,33,69,1,-1,-1,-1
5,-1,568,429,48,136,1,-1,-1,-1
5,-1,732,434,45,73,1,-1,-1,-1
5,-1,966,410,27,42,1,-1,-1,-1
5,-1,881,413,27,41,1,-1,-1,-1
5,-1,869,427,37,86,1,-1,-1,-1
6,-1,1361,427,73,178,1,-1,-1,-1
6,-1,1440,431,70,170,1,-1,-1,-1
6,-1,637,425,58,170,1,-1,-1,-1
6,-1,1168,433,36,72,1,-1,-1,-1
6,-1,446,438,73,167,1,-1,-1,-1
6,-1,540,449,60,145,1,-1,-1,-1
6,-1,876,413,30,45,1,-1,-1,-1
6,-1,966,407,32,48,1,-1,-1,-1
7,-1,445,442,75,164,1,-1,-1,-1
7,-1,539,450,61,150,1,-1,-1,-1
7,-1,636,426,56,169,1,-1,-1,-1
7,-1,1436,436,66,148,1,-1,-1,-1
7,-1,1362,428,68,176,1,-1,-1,-1
7,-1,1164,429,38,81,1,-1,-1,-1
8,-1,632,425,61,178,1,-1,-1,-1
8,-1,538,446,60,157,1,-1,-1,-1
8,-1,1163,429,36,86,1,-1,-1,-1
8,-1,438,437,80,173,1,-1,-1,-1
8,-1,1436,429,68,155,1,-1,-1,-1
8,-1,1361,429,69,173,1,-1,-1,-1
8,-1,967,409,27,49,1,-1,-1,-1
8,-1,878,416,25,40,1,-1,-1,-1
8,-1,1081,424,34,84,1,-1,-1,-1
8,-1,757,440,41,69,1,-1,-1,-1
9,-1,632,428,59,174,1,-1,-1,-1
9,-1,1164,430,35,86,1,-1,-1,-1
9,-1,441,439,80,171,1,-1,-1,-1
9,-1,539,448,60,153,1,-1,-1,-1
9,-1,1435,428,65,154,1,-1,-1,-1
9,-1,1364,431,63,154,1,-1,-1,-1
9,-1,867,433,39,87,1,-1,-1,-1
9,-1,1084,425,33,82,1,-1,-1,-1
9,-1,967,409,25,49,1,-1,-1,-1
10,-1,1431,427,69,152,1,-1,-1,-1
10,-1,1162,431,36,87,1,-1,-1,-1
10,-1,438,442,76,168,1,-1,-1,-1
10,-1,540,448,57,155,1,-1,-1,-1
10,-1,636,427,55,174,1,-1,-1,-1
10,-1,1084,424,34,88,1,-1,-1,-1
10,-1,616,443,71,168,1,-1,-1,-1
10,-1,1369,436,57,120,1,-1,-1,-1
10,-1,866,434,40,76,1,-1,-1,-1
10,-1,877,417,24,41,1,-1,-1,-1
10,-1,967,412,24,45,1,-1,-1,-1
10,-1,1566,449,38,54,1,-1,-1,-1
11,-1,625,416,73,195,1,-1,-1,-1
11,-1,432,441,83,174,1,-1,-1,-1
11,-1,1163,431,36,82,1,-1,-1,-1
11,-1,1425,433,67,149,1,-1,-1,-1
11,-1,876,418,27,37,1,-1,-1,-1
11,-1,537,448,59,154,1,-1,-1,-1
11,-1,961,414,31,41,1,-1,-1,-1
11,-1,1078,421,35,92,1,-1,-1,-1
11,-1,872,427,43,93,1,-1,-1,-1
11,-1,452,450,62,105,1,-1,-1,-1
12,-1,430,446,86,164,1,-1,-1,-1
12,-1,629,418,72,189,1,-1,-1,-1
12,-1,1159,429,37,83,1,-1,-1,-1
12,-1,534,452,57,147,1,-1,-1,-1
12,-1,1083,423,35,84,1,-1,-1,-1
12,-1,871,421,29,32,1,-1,-1,-1
12,-1,867,431,44,84,1,-1,-1,-1
13,-1,1159,428,35,90,1,-1,-1,-1
13,-1,625,416,73,192,1,-1,-1,-1
13,-1,428,440,88,174,1,-1,-1,-1
13,-1,1087,425,34,87,1,-1,-1,-1
13,-1,440,444,67,123,1,-1,-1,-1
13,-1,866,432,46,78,1,-1,-1,-1
13,-1,870,421,28,35,1,-1,-1,-1
13,-1,531,450,59,149,1,-1,-1,-1
14,-1,1156,429,34,88,1,-1,-1,-1
14,-1,426,446,76,167,1,-1,-1,-1
14,-1,629,416,68,193,1,-1,-1,-1
14,-1,1089,425,33,84,1,-1,-1,-1
14,-1,862,432,49,79,1,-1,-1,-1
14,-1,540,446,59,155,1,-1,-1,-1
14,-1,558,440,44,109,1,-1,-1,-1
14,-1,871,419,33,38,1,-1,-1,-1
14,-1,770,440,37,61,1,-1,-1,-1
14,-1,1413,440,70,129,1,-1,-1,-1
15,-1,625,414,74,200,1,-1,-1,-1
15,-1,416,444,83,160,1,-1,-1,-1
15,-1,1154,434,33,81,1,-1,-1,-1
15,-1,527,445,67,154,1,-1,-1,-1
15,-1,1084,426,33,85,1,-1,-1,-1
15,-1,541,441,48,99,1,-1,-1,-1
16,-1,414,448,83,160,1,-1,-1,-1
16,-1,631,414,66,201,1,-1,-1,-1
16,-1,1152,432,33,87,1,-1,-1,-1
16,-1,1089,426,32,85,1,-1,-1,-1
16,-1,548,436,51,117,1,-1,-1,-1
16,-1,536,448,64,153,1,-1,-1,-1
16,-1,870,413,32,42,1,-1,-1,-1
17,-1,411,447,84,160,1,-1,-1,-1
17,-1,1143,427,37,92,1,-1,-1,-1
17,-1,612,421,74,187,1,-1,-1,-1
17,-1,1088,425,37,86,1,-1,-1,-1
17,-1,550,430,54,153,1,-1,-1,-1
17,-1,865,417,33,40,1,-1,-1,-1
